asset,model,feature,importance,task
Bitcoin,Ridge,log_return,0.08128304964294746,return_1d
Bitcoin,Ridge,RSI,0.07600392252703646,return_1d
Bitcoin,Ridge,ADX,0.06388913525892188,return_1d
Bitcoin,Ridge,ROC,0.013165173114172559,return_1d
Bitcoin,Ridge,ema14_ratio,0.02097137761018735,return_1d
Bitcoin,Ridge,ema30_ratio,0.012586100183426291,return_1d
Bitcoin,Ridge,macd_norm,0.013906749054226264,return_1d
Bitcoin,Ridge,macd_hist_norm,0.012157758216759396,return_1d
Bitcoin,Ridge,bb_pctb,0.07266337971926595,return_1d
Bitcoin,Ridge,bb_width,0.054005609747675924,return_1d
Bitcoin,Ridge,atr_norm,0.017119241942395256,return_1d
Bitcoin,Ridge,hl_range,0.04183728911933097,return_1d
Bitcoin,Ridge,return_1d,0.054720424312167955,return_1d
Bitcoin,Ridge,return_2d,0.01878552480317529,return_1d
Bitcoin,Ridge,return_5d,0.004469639369669249,return_1d
Bitcoin,Ridge,return_10d,0.0025495862746956737,return_1d
Bitcoin,Ridge,return_20d,0.0173353732597069,return_1d
Bitcoin,Ridge,volatility_10d,0.01686122249084802,return_1d
Bitcoin,Ridge,volatility_30d,0.0031830488420909867,return_1d
Bitcoin,Ridge,rv_1d,0.05163175065096841,return_1d
Bitcoin,Ridge,rv_5d,0.024928097997313572,return_1d
Bitcoin,Ridge,rv_22d,0.01148302055402175,return_1d
Bitcoin,Ridge,ewma_vol,0.019013693386929896,return_1d
Bitcoin,Ridge,dow_sin,0.052340931882057184,return_1d
Bitcoin,Ridge,dow_cos,0.01656311292584581,return_1d
Bitcoin,Ridge,log_volume_change,0.017162765277346,return_1d
Bitcoin,Ridge,sp500_return,0.0509506065216004,return_1d
Bitcoin,Ridge,vix_return,0.022041268437828606,return_1d
Bitcoin,Ridge,fear_greed,0.08657988681683705,return_1d
Bitcoin,RandomForest,log_return,0.06536562166959126,return_1d
Bitcoin,RandomForest,RSI,0.07008544801416647,return_1d
Bitcoin,RandomForest,ADX,0.028445930498419855,return_1d
Bitcoin,RandomForest,ROC,0.04216832424629945,return_1d
Bitcoin,RandomForest,ema14_ratio,0.023159618974786297,return_1d
Bitcoin,RandomForest,ema30_ratio,0.03206426794799569,return_1d
Bitcoin,RandomForest,macd_norm,0.019059484408365735,return_1d
Bitcoin,RandomForest,macd_hist_norm,0.05398936320836058,return_1d
Bitcoin,RandomForest,bb_pctb,0.030751342978130973,return_1d
Bitcoin,RandomForest,bb_width,0.02181780132685138,return_1d
Bitcoin,RandomForest,atr_norm,0.1856460633732005,return_1d
Bitcoin,RandomForest,hl_range,0.010933175755749527,return_1d
Bitcoin,RandomForest,return_1d,0.04210293738292995,return_1d
Bitcoin,RandomForest,return_2d,0.01696029262734262,return_1d
Bitcoin,RandomForest,return_5d,0.023856870396213137,return_1d
Bitcoin,RandomForest,return_10d,0.016647560840581825,return_1d
Bitcoin,RandomForest,return_20d,0.015340956384974475,return_1d
Bitcoin,RandomForest,volatility_10d,0.012205681274149149,return_1d
Bitcoin,RandomForest,volatility_30d,0.02162351785396559,return_1d
Bitcoin,RandomForest,rv_1d,0.02774300219598917,return_1d
Bitcoin,RandomForest,rv_5d,0.02493694249140911,return_1d
Bitcoin,RandomForest,rv_22d,0.011713842663546322,return_1d
Bitcoin,RandomForest,ewma_vol,0.027116752264120067,return_1d
Bitcoin,RandomForest,dow_sin,0.012353667479394703,return_1d
Bitcoin,RandomForest,dow_cos,0.0023358573883988437,return_1d
Bitcoin,RandomForest,log_volume_change,0.008621893393408037,return_1d
Bitcoin,RandomForest,sp500_return,0.07927891106098253,return_1d
Bitcoin,RandomForest,vix_return,0.006750535183862001,return_1d
Bitcoin,RandomForest,fear_greed,0.06692433671681489,return_1d
Bitcoin,LightGBM,log_return,0.04973066992595852,return_1d
Bitcoin,LightGBM,RSI,0.03759379335440706,return_1d
Bitcoin,LightGBM,ADX,0.027682340536244278,return_1d
Bitcoin,LightGBM,ROC,0.03563150688417365,return_1d
Bitcoin,LightGBM,ema14_ratio,0.04697300956362748,return_1d
Bitcoin,LightGBM,ema30_ratio,0.027012143334692408,return_1d
Bitcoin,LightGBM,macd_norm,0.024255616750434777,return_1d
Bitcoin,LightGBM,macd_hist_norm,0.044878180344495006,return_1d
Bitcoin,LightGBM,bb_pctb,0.02470004304650627,return_1d
Bitcoin,LightGBM,bb_width,0.03417085622448319,return_1d
Bitcoin,LightGBM,atr_norm,0.0661249292246541,return_1d
Bitcoin,LightGBM,hl_range,0.03178646044460298,return_1d
Bitcoin,LightGBM,return_1d,0.044159884743263454,return_1d
Bitcoin,LightGBM,return_2d,0.03183804514837873,return_1d
Bitcoin,LightGBM,return_5d,0.02562849613725836,return_1d
Bitcoin,LightGBM,return_10d,0.030219341454446106,return_1d
Bitcoin,LightGBM,return_20d,0.026985869172023596,return_1d
Bitcoin,LightGBM,volatility_10d,0.02269998834124974,return_1d
Bitcoin,LightGBM,volatility_30d,0.03209638034073201,return_1d
Bitcoin,LightGBM,rv_1d,0.059752989372685354,return_1d
Bitcoin,LightGBM,rv_5d,0.034662851035206985,return_1d
Bitcoin,LightGBM,rv_22d,0.020329239593563107,return_1d
Bitcoin,LightGBM,ewma_vol,0.018327101020681396,return_1d
Bitcoin,LightGBM,dow_sin,0.0248400202182788,return_1d
Bitcoin,LightGBM,dow_cos,0.013345225898715974,return_1d
Bitcoin,LightGBM,log_volume_change,0.03645440883295679,return_1d
Bitcoin,LightGBM,sp500_return,0.05812117978761782,return_1d
Bitcoin,LightGBM,vix_return,0.028649541407691666,return_1d
Bitcoin,LightGBM,fear_greed,0.04134988786097038,return_1d
Bitcoin,CatBoost,log_return,0.07513227104988561,return_1d
Bitcoin,CatBoost,RSI,0.039565813887734655,return_1d
Bitcoin,CatBoost,ADX,0.027127266811186584,return_1d
Bitcoin,CatBoost,ROC,0.024381060748087345,return_1d
Bitcoin,CatBoost,ema14_ratio,0.017696974921225045,return_1d
Bitcoin,CatBoost,ema30_ratio,0.04720932206505479,return_1d
Bitcoin,CatBoost,macd_norm,0.02479242063623544,return_1d
Bitcoin,CatBoost,macd_hist_norm,0.038479534586600674,return_1d
Bitcoin,CatBoost,bb_pctb,0.03648727009707501,return_1d
Bitcoin,CatBoost,bb_width,0.013793941389319112,return_1d
Bitcoin,CatBoost,atr_norm,0.04396519611199087,return_1d
Bitcoin,CatBoost,hl_range,0.023364282393415727,return_1d
Bitcoin,CatBoost,return_1d,0.07879887268617192,return_1d
Bitcoin,CatBoost,return_2d,0.020212379844924865,return_1d
Bitcoin,CatBoost,return_5d,0.024355510693458617,return_1d
Bitcoin,CatBoost,return_10d,0.009975998894323627,return_1d
Bitcoin,CatBoost,return_20d,0.02898303041062424,return_1d
Bitcoin,CatBoost,volatility_10d,0.02266772362999084,return_1d
Bitcoin,CatBoost,volatility_30d,0.015733375922603255,return_1d
Bitcoin,CatBoost,rv_1d,0.06287654347486474,return_1d
Bitcoin,CatBoost,rv_5d,0.022991171515005678,return_1d
Bitcoin,CatBoost,rv_22d,0.015600948692987351,return_1d
Bitcoin,CatBoost,ewma_vol,0.02428593866743707,return_1d
Bitcoin,CatBoost,dow_sin,0.07832242074603757,return_1d
